0 1 1 0 f 8 	403.864157584	1.041e-04	19
0 1 1 0 e 9 	405.826059095	8.454e-05	30
0 1 1 0 f 10 	408.020441685	1.184e-04	16
0 1 1 0 e 11 	410.416427101	1.036e-04	28
0 1 1 0 f 12 	413.051851059	1.390e-04	23
0 1 1 0 e 13 	415.881518903	1.274e-04	31
0 1 1 0 f 14 	418.958053653	1.583e-04	24
0 1 1 0 e 15 	422.220524188	1.488e-04	31
0 1 1 0 f 16 	425.739090292	1.770e-04	23
0 0 0 0 e 62 	426.066525551	7.625e-04	41
0 1 1 0 e 17 	429.433935255	1.686e-04	32
0 1 1 0 f 18 	433.394783243	1.937e-04	26
0 1 1 0 e 19 	437.521577599	1.886e-04	35
0 1 1 0 f 20 	441.925534988	2.128e-04	24
0 1 1 0 e 21 	446.483348888	2.097e-04	33
0 1 1 0 f 22 	451.331124388	2.308e-04	25
0 0 0 0 e 64 	453.760448160	7.899e-04	38
0 1 1 0 e 23 	456.319305528	2.281e-04	33
0 1 1 0 f 24 	461.611393495	2.497e-04	25
0 1 1 0 e 25 	467.029346017	2.466e-04	32
0 1 1 0 f 26 	472.766334893	2.665e-04	26
0 1 1 0 e 27 	478.613403283	2.648e-04	31
0 0 0 0 e 66 	482.325031791	8.210e-04	38
0 1 1 0 f 28 	484.795867998	2.846e-04	25
0 1 1 0 e 29 	491.071443380	2.824e-04	34
0 1 1 0 f 30 	497.699938735	3.027e-04	27
0 1 1 0 e 31 	504.403365069	3.003e-04	31
0 1 1 0 f 32 	511.478555803	3.226e-04	25
0 0 0 0 e 68 	511.760158880	8.477e-04	38
0 1 1 0 e 33 	518.609144715	3.194e-04	32
0 1 1 0 f 34 	526.131611883	3.499e-04	26
0 1 1 0 e 35 	533.688688605	3.398e-04	31
0 1 1 0 f 36 	541.658929978	3.708e-04	25
0 0 0 0 e 70 	542.065634163	8.825e-04	39
0 1 1 0 e 37 	549.641854520	3.619e-04	31
0 1 1 0 f 38 	558.060508405	3.918e-04	24
0 1 1 0 e 39 	566.468634844	3.871e-04	31
0 0 0 0 e 72 	573.241305546	9.175e-04	33
0 1 1 0 f 40 	575.336301488	4.159e-04	25
0 1 1 0 e 41 	584.168933999	4.150e-04	30
0 1 1 0 f 42 	593.486103651	4.431e-04	23
0 1 1 0 e 43 	602.742708488	4.430e-04	33
0 0 0 0 e 74 	605.286938113	9.456e-04	32
0 1 1 0 f 44 	612.509900158	4.779e-04	24
0 1 1 0 e 45 	622.189665197	4.764e-04	27
0 1 1 0 f 46 	632.407552789	5.166e-04	22
0 0 0 0 e 76 	638.202466171	9.764e-04	32
0 1 1 0 e 47 	642.509927269	5.232e-04	27
0 1 1 0 f 48 	653.178662920	5.608e-04	18
1 0 0 0 e 0 	658.000039406	2.013e-04	2
1 0 0 0 e 2 	658.653624107	1.479e-04	13
1 0 0 0 e 4 	660.179072251	1.472e-04	12
1 0 0 0 e 6 	662.576512913	1.496e-04	18
0 1 1 0 e 49 	663.703379823	5.684e-04	28
1 0 0 0 e 8 	665.845416138	1.544e-04	20
1 0 0 0 e 10 	669.986528261	1.611e-04	21
0 0 0 0 e 78 	671.987619867	1.008e-03	31
0 1 1 0 f 50 	674.823775758	5.988e-04	19
1 0 0 0 e 12 	674.999044231	1.713e-04	21
1 0 0 0 e 14 	680.883167543	1.854e-04	25
